country,date,confirmed,recovered,deaths,first_date,population,density,median_age,urban_population,confirmed_change,deaths_change,recovered_change,days_since_first_case
Somalia,2020-04-05,7,1,0,,15893222,25,17,0.47,0,0,0,
Suriname,2020-03-31,9,0,0,,586632,4,29,0.65,1,0,0,
Syria,2020-03-25,5,0,0,,17500658,95,26,0.6,4,0,0,
Trinidad and Tobago,2020-03-24,57,1,0,2020-04-04,1399488,273,36,0.52,6,0,0,-11
Bangladesh,2020-03-23,33,5,3,2020-04-06,164689383,1265,28,0.39,6,1,2,-14
Bangladesh,2020-03-28,48,15,5,2020-04-06,164689383,1265,28,0.39,0,0,4,-9
Barbados,2020-03-23,17,0,0,,287375,668,40,0.31,3,0,0,
Barbados,2020-04-06,60,6,2,,287375,668,40,0.31,4,1,0,
Ethiopia,2020-03-26,12,0,0,,114963588,115,19,0.21,0,0,0,
French Guiana,2020-03-21,18,6,0,,298682,4,25,0.87,3,0,6,
Kazakhstan,2020-03-20,49,0,3,2020-03-26,18776707,7,31,0.58,5,3,0,-6
Malta,2020-04-02,196,2,0,2020-03-23,441543,1380,43,0.93,8,0,0,10
Mauritania,2020-03-17,1,0,0,,4649658,5,20,0.57,0,0,0,
Namibia,2020-03-18,2,0,0,,2540905,3,22,0.55,0,0,0,
Namibia,2020-03-30,11,2,0,,2540905,3,22,0.55,0,0,0,
Namibia,2020-04-03,14,3,0,,2540905,3,22,0.55,0,0,0,
Niger,2020-03-26,10,0,1,2020-04-03,24206644,19,15,0.17,3,0,0,-8
Papua New Guinea,2020-03-20,1,0,0,,8947024,20,22,0.13,1,0,0,
Paraguay,2020-03-27,52,1,3,2020-04-05,7132538,18,26,0.62,11,0,1,-9
Saint Lucia,2020-03-31,13,1,0,,183627,301,34,0.19,4,0,0,
Sierra Leone,2020-04-03,2,0,0,,7976983,111,19,0.43,0,0,0,
Tanzania,2020-03-23,12,0,0,,59734218,67,18,0.37,0,0,0,
Albania,2020-03-12,23,0,1,2020-03-23,2877797,105,36,0.63,11,0,0,-11
Albania,2020-04-06,377,116,21,2020-03-23,2877797,105,36,0.63,16,1,12,14
Antigua and Barbuda,2020-03-16,1,0,0,,97929,223,34,0.26,0,0,0,
Burkina Faso,2020-03-10,1,0,0,2020-03-24,20903273,76,18,0.31,1,0,0,-14
Cuba,2020-03-21,21,0,1,2020-03-28,11326616,106,42,0.78,5,0,0,-7
Cyprus,2020-03-11,6,0,0,2020-03-23,1207359,131,37,0.67,3,0,0,-12
Cyprus,2020-03-29,214,15,5,2020-03-23,1207359,131,37,0.67,35,0,0,6
Equatorial Guinea,2020-03-16,1,0,0,,1402985,50,22,0.73,0,0,0,
Eritrea,2020-04-03,22,0,0,,3546421,35,19,0.63,0,0,0,
Greenland,2020-03-20,1,0,0,,56770,0,,0.87,0,0,0,
Guatemala,2020-04-05,61,15,2,,17915568,167,23,0.52,0,0,0,
Guyana,2020-03-18,7,0,1,,786552,4,27,0.27,0,0,0,
Jamaica,2020-03-15,10,0,0,,2961167,273,31,0.55,2,0,0,
Kyrgyzstan,2020-03-18,3,0,0,2020-03-31,6524195,34,26,0.36,3,0,0,-13
Liberia,2020-04-07,14,3,3,,5057681,53,19,0.53,0,0,0,
Mali,2020-04-03,39,0,3,,20250833,17,16,0.44,3,0,0,
Mauritius,2020-03-21,14,0,1,2020-03-28,1271768,626,37,0.41,2,1,0,-7
Panama,2020-03-30,989,4,24,2020-03-19,4314767,58,30,0.68,88,7,0,11
Somalia,2020-03-19,1,0,0,,15893222,25,17,0.47,0,0,0,
Somalia,2020-03-23,1,0,0,,15893222,25,17,0.47,0,0,0,
Somalia,2020-03-24,1,0,0,,15893222,25,17,0.47,0,0,0,
Suriname,2020-03-25,8,0,0,,586632,4,29,0.65,1,0,0,
Syria,2020-04-03,16,0,2,,17500658,95,26,0.6,0,0,0,
Uruguay,2020-03-31,338,41,1,2020-03-21,3473730,20,36,0.96,28,0,41,10
Uruguay,2020-04-05,400,93,5,2020-03-21,3473730,20,36,0.96,0,0,0,15
Uzbekistan,2020-03-22,43,0,0,2020-03-28,33469203,79,28,0.5,0,0,0,-6
Belize,2020-04-06,7,0,1,,397628,17,25,0.46,2,1,0,
Bulgaria,2020-03-30,359,17,8,2020-03-20,6948445,64,45,0.76,13,0,3,10
Dominica,2020-04-06,15,1,0,,71986,96,,0.74,1,0,1,
Ethiopia,2020-03-20,9,0,0,,114963588,115,19,0.21,3,0,0,
Ghana,2020-03-28,141,2,5,2020-03-26,31072940,137,22,0.57,4,1,0,2
Guam,2020-03-19,3,0,0,,168775,313,31,0.95,0,0,0,
Haiti,2020-04-06,24,1,1,,11402528,414,24,0.57,3,0,0,
Honduras,2020-04-07,305,6,22,2020-03-29,9904607,89,24,0.57,7,0,0,9
Kenya,2020-03-14,1,0,0,2020-04-02,53771296,94,20,0.28,0,0,0,-19
Laos,2020-03-25,3,0,0,,7275560,32,24,0.36,1,0,0,
Maldives,2020-04-03,19,13,0,,540544,1802,30,0.35,0,0,0,
Malta,2020-03-29,151,2,0,2020-03-23,441543,1380,43,0.93,2,0,0,6
Mayotte,2020-03-16,1,0,0,,272815,728,20,0.46,1,0,0,
Mongolia,2020-03-31,12,2,0,,3278290,2,28,0.67,0,0,0,
Montenegro,2020-03-19,3,0,0,2020-03-31,628066,47,39,0.68,1,0,0,-12
Mozambique,2020-03-25,5,0,0,,31255435,40,18,0.38,2,0,0,
Sierra Leone,2020-04-02,2,0,0,,7976983,111,19,0.43,0,0,0,
Venezuela,2020-03-25,91,15,0,2020-03-26,28435940,32,30,,7,0,0,-1
Venezuela,2020-04-05,159,52,7,2020-03-26,28435940,32,30,,4,0,0,10
Zimbabwe,2020-04-03,9,0,1,,14862924,38,19,0.38,0,0,0,
Antigua and Barbuda,2020-04-02,9,0,0,,97929,223,34,0.26,2,0,0,
Bahamas,2020-03-16,1,0,0,,393244,39,32,0.86,1,0,0,
Burkina Faso,2020-03-17,15,0,0,2020-03-24,20903273,76,18,0.31,0,0,0,-7
Cabo Verde,2020-04-03,6,0,1,,555987,138,28,0.68,0,0,0,
Cabo Verde,2020-04-04,7,0,1,,555987,138,28,0.68,1,0,0,
El Salvador,2020-03-25,9,0,0,,6486205,313,28,0.73,4,0,0,
Fiji,2020-03-28,5,0,0,,896445,49,28,0.59,0,0,0,
Gambia,2020-04-02,4,2,1,,2416668,239,18,0.59,0,0,0,
Greenland,2020-03-19,1,0,0,,56770,0,,0.87,0,0,0,
Guadeloupe,2020-03-19,33,0,0,,400124,237,44,,6,0,0,
Kosovo,2020-03-18,2,0,0,2020-03-31,1831000,,,,0,0,0,-13
Kyrgyzstan,2020-03-25,44,0,0,2020-03-31,6524195,34,26,0.36,2,0,0,-6
Kyrgyzstan,2020-03-28,58,0,0,2020-03-31,6524195,34,26,0.36,0,0,0,-3
Liberia,2020-04-04,10,3,1,,5057681,53,19,0.53,3,1,3,
Moldova,2020-04-05,864,30,15,2020-03-23,4033963,123,38,0.43,112,3,1,13
Panama,2020-04-02,1317,9,32,2020-03-19,4314767,58,30,0.68,136,2,0,14
Puerto Rico,2020-03-18,3,0,0,,2860853,323,44,,0,0,0,
Seychelles,2020-03-30,8,0,0,,98347,214,34,0.56,0,0,0,
Seychelles,2020-04-02,10,0,0,,98347,214,34,0.56,0,0,0,
Suriname,2020-03-20,4,0,0,,586632,4,29,0.65,3,0,0,
Timor-Leste,2020-04-07,1,0,0,,1318445,89,21,0.33,0,0,0,
Trinidad and Tobago,2020-03-27,66,1,2,2020-04-04,1399488,273,36,0.52,1,1,0,-8
Barbados,2020-03-17,2,0,0,,287375,668,40,0.31,2,0,0,
Barbados,2020-03-18,2,0,0,,287375,668,40,0.31,0,0,0,
Barbados,2020-03-20,5,0,0,,287375,668,40,0.31,0,0,0,
Belize,2020-03-31,3,0,0,,397628,17,25,0.46,0,0,0,
Bolivia,2020-03-23,27,0,0,2020-03-31,11673021,11,26,0.69,3,0,0,-8
Bolivia,2020-03-26,43,0,0,2020-03-31,11673021,11,26,0.69,11,0,0,-5
Bulgaria,2020-03-17,67,0,2,2020-03-20,6948445,64,45,0.76,15,0,0,-3
Bulgaria,2020-03-21,163,3,3,2020-03-20,6948445,64,45,0.76,36,0,3,1
Eswatini,2020-03-23,4,0,0,,1160164,67,21,0.3,0,0,0,
Eswatini,2020-04-03,9,0,0,,1160164,67,21,0.3,0,0,0,
Gabon,2020-03-21,4,0,1,,2225734,9,23,0.87,1,0,0,
Gabon,2020-04-02,21,0,1,,2225734,9,23,0.87,3,0,0,
Grenada,2020-04-02,10,0,0,,112523,331,32,0.35,1,0,0,
Guam,2020-03-18,3,0,0,,168775,313,31,0.95,0,0,0,
Haiti,2020-03-24,7,0,0,,11402528,414,24,0.57,1,0,0,
Honduras,2020-03-20,24,0,0,2020-03-29,9904607,89,24,0.57,12,0,0,-9
Kazakhstan,2020-03-17,33,0,0,2020-03-26,18776707,7,31,0.58,23,0,0,-9
Kenya,2020-04-02,110,4,3,2020-04-02,53771296,94,20,0.28,29,2,1,0
Laos,2020-03-30,8,0,0,,7275560,32,24,0.36,0,0,0,
Malta,2020-03-08,3,0,0,2020-03-23,441543,1380,43,0.93,0,0,0,-15
Malta,2020-03-13,12,1,0,2020-03-23,441543,1380,43,0.93,6,0,1,-10
Mauritania,2020-03-31,6,2,1,,4649658,5,20,0.57,1,0,0,
Montenegro,2020-03-20,14,0,0,2020-03-31,628066,47,39,0.68,11,0,0,-11
Namibia,2020-03-25,7,2,0,,2540905,3,22,0.55,0,0,0,
Niger,2020-03-31,27,0,3,2020-04-03,24206644,19,15,0.17,0,0,0,-3
Paraguay,2020-03-20,13,0,0,2020-04-05,7132538,18,26,0.62,2,0,0,-16
Sudan,2020-03-20,2,0,1,,43849260,25,20,0.35,0,0,0,
Western Sahara,2020-04-05,4,0,0,,597339,2,28,0.87,4,0,0,
Albania,2020-03-27,186,31,8,2020-03-23,2877797,105,36,0.63,12,2,14,4
Antigua and Barbuda,2020-03-15,1,0,0,,97929,223,34,0.26,0,0,0,
Aruba,2020-03-18,4,0,0,,106766,593,41,0.44,1,0,0,
Botswana,2020-04-04,4,0,1,,2351627,4,24,0.73,0,0,0,
Burkina Faso,2020-04-04,318,66,16,2020-03-24,20903273,76,18,0.31,16,0,16,11
Chad,2020-04-06,9,0,0,,16425864,13,17,0.23,0,0,0,
Cuba,2020-03-19,11,0,1,2020-03-28,11326616,106,42,0.78,4,0,0,-9
Cuba,2020-03-26,67,1,2,2020-03-28,11326616,106,42,0.78,10,1,0,-2
Cuba,2020-03-29,139,4,3,2020-03-28,11326616,106,42,0.78,20,0,0,1
Cuba,2020-04-06,350,18,9,2020-03-28,11326616,106,42,0.78,30,1,3,9
Gambia,2020-04-07,4,2,1,,2416668,239,18,0.59,0,0,0,
Guatemala,2020-03-25,24,4,1,,17915568,167,23,0.52,3,0,4,
Kyrgyzstan,2020-03-22,14,0,0,2020-03-31,6524195,34,26,0.36,0,0,0,-9
Mali,2020-04-01,31,0,3,,20250833,17,16,0.44,3,1,0,
Moldova,2020-03-10,3,0,0,2020-03-23,4033963,123,38,0.43,2,0,0,-13
Moldova,2020-03-13,6,0,0,2020-03-23,4033963,123,38,0.43,3,0,0,-10
Palestine,2020-03-07,22,0,0,,5101414,847,21,0.8,6,0,0,
Panama,2020-03-13,27,0,1,2020-03-19,4314767,58,30,0.68,16,0,0,-6
Seychelles,2020-03-27,7,0,0,,98347,214,34,0.56,0,0,0,
Suriname,2020-03-26,8,0,0,,586632,4,29,0.65,0,0,0,
Suriname,2020-04-03,10,0,1,,586632,4,29,0.65,0,1,0,
Timor-Leste,2020-03-25,1,0,0,,1318445,89,21,0.33,0,0,0,
Uzbekistan,2020-03-17,10,0,0,2020-03-28,33469203,79,28,0.5,4,0,0,-11
Zambia,2020-03-27,22,0,0,,18383955,25,18,0.45,6,0,0,
Bangladesh,2020-03-21,25,3,2,2020-04-06,164689383,1265,28,0.39,5,1,0,-16
Belize,2020-03-28,2,0,0,,397628,17,25,0.46,0,0,0,
Bolivia,2020-03-21,19,0,0,2020-03-31,11673021,11,26,0.69,4,0,0,-10
Dominica,2020-03-28,11,0,0,,71986,96,,0.74,0,0,0,
Mozambique,2020-03-28,8,0,0,,31255435,40,18,0.38,1,0,0,
Mozambique,2020-04-02,10,0,0,,31255435,40,18,0.38,0,0,0,
Nicaragua,2020-03-20,1,0,0,,6624554,55,26,0.57,0,0,0,
Saint Lucia,2020-03-25,3,0,0,,183627,301,34,0.19,0,0,0,
Sierra Leone,2020-04-05,6,0,0,,7976983,111,19,0.43,2,0,0,
South Sudan,2020-04-06,1,0,0,,11193725,18,19,0.25,0,0,0,
Venezuela,2020-03-26,107,15,0,2020-03-26,28435940,32,30,,16,0,0,0
Angola,2020-03-27,4,0,0,,32866272,26,17,0.67,0,0,0,
Antigua and Barbuda,2020-03-24,3,0,0,,97929,223,34,0.26,0,0,0,
Equatorial Guinea,2020-04-02,15,1,0,,1402985,50,22,0.73,0,0,0,
Guinea-Bissau,2020-04-05,18,0,0,,1968001,70,19,0.45,0,0,0,
Guyana,2020-03-23,20,0,1,,786552,4,27,0.27,2,0,0,
Guyana,2020-03-25,20,0,1,,786552,4,27,0.27,0,0,0,
Jamaica,2020-03-12,2,0,0,,2961167,273,31,0.55,1,0,0,
Kyrgyzstan,2020-03-27,58,0,0,2020-03-31,6524195,34,26,0.36,14,0,0,-4
Moldova,2020-03-17,30,1,0,2020-03-23,4033963,123,38,0.43,7,0,1,-6
Moldova,2020-03-22,94,1,1,2020-03-23,4033963,123,38,0.43,14,0,0,-1
Somalia,2020-04-07,8,1,0,,15893222,25,17,0.47,1,0,0,
Suriname,2020-03-15,1,0,0,,586632,4,29,0.65,0,0,0,
Suriname,2020-04-01,10,0,0,,586632,4,29,0.65,1,0,0,
Syria,2020-03-30,10,0,2,,17500658,95,26,0.6,1,1,0,
Timor-Leste,2020-04-06,1,0,0,,1318445,89,21,0.33,0,0,0,
Uruguay,2020-03-16,8,0,0,2020-03-21,3473730,20,36,0.96,4,0,0,-5
Bangladesh,2020-03-08,3,0,0,2020-04-06,164689383,1265,28,0.39,3,0,0,-29
Bangladesh,2020-03-29,48,15,5,2020-04-06,164689383,1265,28,0.39,0,0,0,-8
Brunei,2020-03-15,50,0,0,2020-03-24,437479,83,32,0.8,10,0,0,-9
Brunei,2020-03-16,54,0,0,2020-03-24,437479,83,32,0.8,4,0,0,-8
Bulgaria,2020-03-15,51,0,2,2020-03-20,6948445,64,45,0.76,10,0,0,-5
Central African Republic,2020-03-30,3,0,0,,4829767,8,18,0.43,0,0,0,
Central African Republic,2020-03-31,3,0,0,,4829767,8,18,0.43,0,0,0,
Eswatini,2020-03-25,4,0,0,,1160164,67,21,0.3,0,0,0,
Ethiopia,2020-04-06,44,4,2,,114963588,115,19,0.21,1,0,0,
French Guiana,2020-03-12,5,0,0,,298682,4,25,0.87,0,0,0,
French Guiana,2020-03-19,11,0,0,,298682,4,25,0.87,0,0,0,
Gabon,2020-04-01,18,0,1,,2225734,9,23,0.87,2,0,0,
Kenya,2020-04-01,81,3,1,2020-04-02,53771296,94,20,0.28,22,0,2,-1
Laos,2020-03-26,6,0,0,,7275560,32,24,0.36,3,0,0,
Maldives,2020-03-13,9,0,0,,540544,1802,30,0.35,1,0,0,
Mayotte,2020-03-17,1,0,0,,272815,728,20,0.46,0,0,0,
Mongolia,2020-03-15,1,0,0,,3278290,2,28,0.67,0,0,0,
Papua New Guinea,2020-03-21,1,0,0,,8947024,20,22,0.13,0,0,0,
Paraguay,2020-03-22,22,0,1,2020-04-05,7132538,18,26,0.62,4,0,0,-14
Turkey,2020-03-11,1,0,0,2020-03-19,84339067,110,32,0.76,1,0,0,-8
Uganda,2020-03-23,9,0,0,,45741007,229,17,0.26,8,0,0,
Angola,2020-03-21,2,0,0,,32866272,26,17,0.67,1,0,0,
Bahamas,2020-03-25,5,1,0,,393244,39,32,0.86,0,0,0,
El Salvador,2020-04-06,69,5,4,,6486205,313,28,0.73,7,1,3,
Eritrea,2020-03-22,1,0,0,,3546421,35,19,0.63,0,0,0,
Eritrea,2020-03-29,12,0,0,,3546421,35,19,0.63,6,0,0,
Fiji,2020-04-04,12,0,0,,896445,49,28,0.59,5,0,0,
Gambia,2020-03-28,3,0,1,,2416668,239,18,0.59,0,0,0,
Guatemala,2020-03-26,25,4,1,,17915568,167,23,0.52,1,0,0,
Jamaica,2020-03-25,26,2,1,,2961167,273,31,0.55,5,0,0,
Madagascar,2020-04-03,70,0,0,,27691018,48,20,0.39,11,0,0,
Mali,2020-04-02,36,0,3,,20250833,17,16,0.44,5,0,0,
Martinique,2020-03-18,19,0,1,,375265,354,47,0.92,3,0,0,
Mauritius,2020-03-31,143,0,5,2020-03-28,1271768,626,37,0.41,15,2,0,3
Moldova,2020-04-06,965,37,19,2020-03-23,4033963,123,38,0.43,101,4,7,14
Panama,2020-04-07,2100,14,55,2020-03-19,4314767,58,30,0.68,112,1,1,19
Seychelles,2020-03-29,8,0,0,,98347,214,34,0.56,0,0,0,
Syria,2020-03-22,1,0,0,,17500658,95,26,0.6,1,0,0,
Belize,2020-03-27,2,0,0,,397628,17,25,0.46,0,0,0,
Bolivia,2020-03-12,2,0,0,2020-03-31,11673021,11,26,0.69,0,0,0,-19
Brunei,2020-03-13,37,0,0,2020-03-24,437479,83,32,0.8,26,0,0,-11
Central African Republic,2020-03-19,1,0,0,,4829767,8,18,0.43,0,0,0,
Central African Republic,2020-03-28,3,0,0,,4829767,8,18,0.43,0,0,0,
Gabon,2020-03-14,1,0,0,,2225734,9,23,0.87,1,0,0,
Holy See,2020-03-16,1,0,0,,801,2003,,,0,0,0,
Holy See,2020-03-23,1,0,0,,801,2003,,,0,0,0,
Honduras,2020-03-22,26,0,0,2020-03-29,9904607,89,24,0.57,2,0,0,-7
Honduras,2020-04-03,222,3,15,2020-03-29,9904607,89,24,0.57,3,1,0,5
Kenya,2020-04-05,142,4,4,2020-04-02,53771296,94,20,0.28,16,0,0,3
Maldives,2020-03-17,13,0,0,,540544,1802,30,0.35,0,0,0,
Maldives,2020-03-19,13,0,0,,540544,1802,30,0.35,0,0,0,
Malta,2020-03-19,53,2,0,2020-03-23,441543,1380,43,0.93,15,0,0,-4
Montenegro,2020-04-06,233,1,2,2020-03-31,628066,47,39,0.68,19,0,0,6
Mozambique,2020-03-24,3,0,0,,31255435,40,18,0.38,2,0,0,
Mozambique,2020-04-05,10,1,0,,31255435,40,18,0.38,0,0,0,
Papua New Guinea,2020-03-29,1,0,0,,8947024,20,22,0.13,0,0,0,
Paraguay,2020-04-02,77,2,3,2020-04-05,7132538,18,26,0.62,8,0,1,-3
Paraguay,2020-04-07,115,15,5,2020-04-05,7132538,18,26,0.62,2,0,3,2
South Sudan,2020-04-05,1,0,0,,11193725,18,19,0.25,1,0,0,
Tanzania,2020-03-28,14,1,0,,59734218,67,18,0.37,1,0,0,
Albania,2020-04-03,304,89,17,2020-03-23,2877797,105,36,0.63,27,1,13,11
Angola,2020-03-20,1,0,0,,32866272,26,17,0.67,1,0,0,
Angola,2020-04-02,8,1,2,,32866272,26,17,0.67,0,0,0,
Antigua and Barbuda,2020-03-19,1,0,0,,97929,223,34,0.26,0,0,0,
Burkina Faso,2020-03-18,20,0,1,2020-03-24,20903273,76,18,0.31,5,1,0,-6
Burkina Faso,2020-03-23,99,5,4,2020-03-24,20903273,76,18,0.31,24,0,0,-1
Burundi,2020-04-02,3,0,0,,11890784,463,17,0.14,1,0,0,
Chad,2020-04-03,8,0,0,,16425864,13,17,0.23,0,0,0,
Cyprus,2020-03-28,179,15,5,2020-03-23,1207359,131,37,0.67,17,0,0,5
El Salvador,2020-03-30,30,0,0,,6486205,313,28,0.73,6,0,0,
Equatorial Guinea,2020-03-21,6,0,0,,1402985,50,22,0.73,0,0,0,
Fiji,2020-03-29,5,0,0,,896445,49,28,0.59,0,0,0,
Guadeloupe,2020-03-16,6,0,0,,400124,237,44,,3,0,0,
Jamaica,2020-04-07,63,8,3,,2961167,273,31,0.55,5,0,0,
Liberia,2020-03-30,3,0,0,,5057681,53,19,0.53,0,0,0,
Moldova,2020-03-27,199,2,2,2020-03-23,4033963,123,38,0.43,22,1,0,4
Puerto Rico,2020-03-16,3,0,0,,2860853,323,44,,3,0,0,
Rwanda,2020-03-19,8,0,0,2020-04-04,12952218,525,20,0.18,0,0,0,-16
Suriname,2020-04-02,10,0,0,,586632,4,29,0.65,0,0,0,
Trinidad and Tobago,2020-03-21,49,1,0,2020-04-04,1399488,273,36,0.52,40,0,1,-14
Trinidad and Tobago,2020-03-28,74,1,3,2020-04-04,1399488,273,36,0.52,8,1,0,-7
Uzbekistan,2020-03-21,43,0,0,2020-03-28,33469203,79,28,0.5,10,0,0,-7
Bolivia,2020-03-15,10,0,0,2020-03-31,11673021,11,26,0.69,0,0,0,-16
Bolivia,2020-04-05,157,2,10,2020-03-31,11673021,11,26,0.69,18,0,1,5
Bulgaria,2020-03-09,4,0,0,2020-03-20,6948445,64,45,0.76,0,0,0,-11
Bulgaria,2020-03-19,94,0,3,2020-03-20,6948445,64,45,0.76,2,1,0,-1
Central African Republic,2020-03-20,3,0,0,,4829767,8,18,0.43,2,0,0,
Gabon,2020-03-16,1,0,0,,2225734,9,23,0.87,0,0,0,
Gabon,2020-03-27,7,0,1,,2225734,9,23,0.87,0,0,0,
Ghana,2020-03-15,6,0,0,2020-03-26,31072940,137,22,0.57,3,0,0,-11
Grenada,2020-04-07,12,0,0,,112523,331,32,0.35,0,0,0,
Guam,2020-03-20,3,0,0,,168775,313,31,0.95,0,0,0,
Holy See,2020-03-29,6,0,0,,801,2003,,,0,0,0,
Honduras,2020-03-16,6,0,0,2020-03-29,9904607,89,24,0.57,3,0,0,-13
Kazakhstan,2020-04-01,380,26,3,2020-03-26,18776707,7,31,0.58,37,0,2,6
Kenya,2020-03-19,7,0,0,2020-04-02,53771296,94,20,0.28,4,0,0,-14
Kenya,2020-03-20,7,0,0,2020-04-02,53771296,94,20,0.28,0,0,0,-13
Maldives,2020-04-05,19,13,0,,540544,1802,30,0.35,0,0,0,
Malta,2020-03-18,38,2,0,2020-03-23,441543,1380,43,0.93,0,0,0,-5
Namibia,2020-03-22,3,0,0,,2540905,3,22,0.55,0,0,0,
Papua New Guinea,2020-03-26,1,0,0,,8947024,20,22,0.13,0,0,0,
Saint Barthelemy,2020-03-04,3,0,0,,9877,470,,0.0,3,0,0,
Saint Lucia,2020-04-02,13,1,0,,183627,301,34,0.19,0,0,0,
Sudan,2020-04-02,8,2,2,,43849260,25,20,0.35,1,0,0,
Uganda,2020-03-28,30,0,0,,45741007,229,17,0.26,7,0,0,
Albania,2020-03-14,38,0,1,2020-03-23,2877797,105,36,0.63,5,0,0,-9
Albania,2020-03-22,89,2,2,2020-03-23,2877797,105,36,0.63,13,0,0,-1
Angola,2020-03-26,4,0,0,,32866272,26,17,0.67,1,0,0,
Bahamas,2020-03-21,4,0,0,,393244,39,32,0.86,1,0,0,
Benin,2020-04-04,16,2,0,,12123200,108,19,0.48,0,0,0,
Burkina Faso,2020-03-20,40,0,1,2020-03-24,20903273,76,18,0.31,7,0,0,-4
Burkina Faso,2020-04-03,302,50,16,2020-03-24,20903273,76,18,0.31,14,0,0,10
Cabo Verde,2020-04-02,6,0,1,,555987,138,28,0.68,0,0,0,
Cuba,2020-03-27,80,4,2,2020-03-28,11326616,106,42,0.78,13,0,3,-1
Cuba,2020-03-30,170,4,4,2020-03-28,11326616,106,42,0.78,31,1,0,2
Cuba,2020-04-07,396,27,11,2020-03-28,11326616,106,42,0.78,46,2,9,10
Guatemala,2020-03-30,36,10,1,,17915568,167,23,0.52,2,0,0,
Guyana,2020-04-01,20,0,2,,786552,4,27,0.27,0,0,0,
Guyana,2020-04-04,23,0,4,,786552,4,27,0.27,0,0,0,
Jamaica,2020-04-04,53,7,3,,2961167,273,31,0.55,6,0,5,
Kosovo,2020-03-15,2,0,0,2020-03-31,1831000,,,,2,0,0,-16
Martinique,2020-03-08,2,0,0,,375265,354,47,0.92,0,0,0,
Martinique,2020-03-19,23,0,1,,375265,354,47,0.92,4,0,0,
Mauritius,2020-04-05,227,7,7,2020-03-28,1271768,626,37,0.41,31,0,0,8
Moldova,2020-03-24,125,2,1,2020-03-23,4033963,123,38,0.43,16,0,0,1
Panama,2020-03-24,345,1,6,2020-03-19,4314767,58,30,0.68,32,3,0,5
Rwanda,2020-03-23,36,0,0,2020-04-04,12952218,525,20,0.18,17,0,0,-12
Somalia,2020-03-22,1,0,0,,15893222,25,17,0.47,0,0,0,
Somalia,2020-04-01,5,1,0,,15893222,25,17,0.47,0,0,0,
Timor-Leste,2020-04-05,1,0,0,,1318445,89,21,0.33,0,0,0,
Trinidad and Tobago,2020-03-17,5,0,0,2020-04-04,1399488,273,36,0.52,1,0,0,-18
Uzbekistan,2020-04-01,181,12,2,2020-03-28,33469203,79,28,0.5,9,0,5,4
Zambia,2020-03-25,12,0,0,,18383955,25,18,0.45,9,0,0,
Zambia,2020-04-04,39,2,1,,18383955,25,18,0.45,0,0,0,
Bangladesh,2020-04-03,61,26,6,2020-04-06,164689383,1265,28,0.39,5,0,1,-3
Brunei,2020-03-09,1,0,0,2020-03-24,437479,83,32,0.8,1,0,0,-15
Grenada,2020-03-30,9,0,0,,112523,331,32,0.35,0,0,0,
Guinea,2020-04-01,30,0,0,2020-04-04,13132795,53,18,0.39,8,0,0,-3
Kazakhstan,2020-03-24,72,0,3,2020-03-26,18776707,7,31,0.58,10,0,0,-2
Kenya,2020-04-06,158,4,6,2020-04-02,53771296,94,20,0.28,16,2,0,4
Maldives,2020-03-16,13,0,0,,540544,1802,30,0.35,0,0,0,
Maldives,2020-04-04,19,13,0,,540544,1802,30,0.35,0,0,0,
Mayotte,2020-03-21,7,0,0,,272815,728,20,0.46,1,0,0,
Montenegro,2020-04-01,123,0,2,2020-03-31,628066,47,39,0.68,14,0,0,1
Montenegro,2020-04-05,214,1,2,2020-03-31,628066,47,39,0.68,13,0,0,5
Mozambique,2020-03-31,8,0,0,,31255435,40,18,0.38,0,0,0,
Tanzania,2020-04-06,24,3,1,,59734218,67,18,0.37,2,0,0,
Venezuela,2020-03-18,36,0,0,2020-03-26,28435940,32,30,,3,0,0,-8
Albania,2020-03-29,212,33,10,2020-03-23,2877797,105,36,0.63,15,0,2,6
Antigua and Barbuda,2020-03-27,7,0,0,,97929,223,34,0.26,0,0,0,
Bahamas,2020-03-24,5,1,0,,393244,39,32,0.86,1,0,1,
Burkina Faso,2020-04-07,384,127,19,2020-03-24,20903273,76,18,0.31,20,1,19,14
Cabo Verde,2020-03-23,3,0,0,,555987,138,28,0.68,0,0,0,
Guyana,2020-03-14,1,0,1,,786552,4,27,0.27,0,0,0,
Guyana,2020-03-16,4,0,1,,786552,4,27,0.27,0,0,0,
Guyana,2020-04-06,31,8,4,,786552,4,27,0.27,7,0,8,
Jamaica,2020-03-27,26,2,1,,2961167,273,31,0.55,0,0,0,
Jamaica,2020-04-05,58,8,3,,2961167,273,31,0.55,5,0,1,
Moldova,2020-04-04,752,29,12,2020-03-23,4033963,123,38,0.43,161,4,3,12
Panama,2020-03-15,43,0,1,2020-03-19,4314767,58,30,0.68,7,0,0,-4
Trinidad and Tobago,2020-03-26,65,1,1,2020-04-04,1399488,273,36,0.52,5,0,0,-9
Trinidad and Tobago,2020-04-01,90,1,5,2020-04-04,1399488,273,36,0.52,3,2,0,-3
Bangladesh,2020-03-25,39,7,5,2020-04-06,164689383,1265,28,0.39,0,1,2,-12
Brunei,2020-04-02,133,56,1,2020-03-24,437479,83,32,0.8,2,0,4,9
Bulgaria,2020-03-27,293,9,3,2020-03-20,6948445,64,45,0.76,29,0,1,7
